CONSECUTIVO,LETRA,CATALOG_KEY,NOMBRE,CODIGOX,LSEX,LINF,LSUP,TRIVIAL,ERRADICADO,N_INTER,NIN,NINMTOBS,COD_SIT_LESION,NO_CBD,CBD,NO_APH,AF_PRIN,DIA_SIS,CLAVE_PROGRAMA_SIS,COD_COMPLEMEN_MORBI,DEF_FETAL_CM,DEF_FETAL_CBD,CLAVE_CAPITULO,CAPITULO,LISTA1,GRUPO1,LISTA5,RUBRICA_TYPE,YEAR_MODIFI,YEAR_APLICACION,VALID,PRINMORTA,PRINMORBI,LM_MORBI,LM_MORTA,LGBD165,LOMSBECK,LGBD190,NOTDIARIA,NOTSEMANAL,SISTEMA_ESPECIAL,BIRMM,CVE_CAUSA_TYPE,CAUSA_TYPE,EPI_MORTA,EDAS_E_IRAS_EN_M5,CSVE_MATERNAS_SEED_EPID,EPI_MORTA_M5,EPI_MORBI,DEF_MATERNAS,ES_CAUSES,NUM_CAUSES,ES_SUIVE_MORTA,ES_SUIVE_MORB,EPI_CLAVE,EPI_CLAVE_DESC,ES_SUIVE_NOTIN,ES_SUIVE_EST_EPI,ES_SUIVE_EST_BROTE,SINAC,PRIN_SINAC,PRIN_SINAC_GRUPO,DESCRIPCION_SINAC_GRUPO,PRIN_SINAC_SUBGRUPO,DESCRIPCION_SINAC_SUBGRUPO,DAGA,ASTERISCO
1,A,A00,CÓLERA,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",002,001,001,NO,NO,NO,SI,001,001,NO,NO,NO,1,NO,SI,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,NO,NO,NO,SI,NO,NO,SI,SI,SI,NO,000,NO,NO,NO,NO,NO,NO
2,A,A000,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",002,001,001,NO,NO,NO,SI,001,001,01A,01A,10,1,10,SI,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,01,COLERA,SI,SI,SI,NO,999,NO,NO,NO,NO,NO,NO
3,A,A001,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",002,001,001,NO,NO,NO,SI,001,001,01A,01A,10,1,10,SI,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,01,COLERA,SI,SI,SI,NO,999,NO,NO,NO,NO,NO,NO
4,A,A009,"CÓLERA, NO ESPECIFICADO",NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",002,001,001,NO,NO,NO,SI,001,001,01A,01A,10,1,10,SI,SI,SI,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,NO,SI,0,NO,NO,SI,SI,01,COLERA,SI,SI,SI,NO,999,NO,NO,NO,NO,NO,NO
5,A,A01,"FIEBRES TIFOIDEA Y PARATIFOIDEA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,002,NO,NO,NO,SI,001,001,NO,NO,NO,1,NO,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,000,NO,NO,NO,NO,NO,NO
6,A,A010,"FIEBRE TIFOIDEA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,002,NO,NO,NO,SI,001,001,01B,01B,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,57,SI,SI,06,"FIEBRE TIFOIDEA",NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
7,A,A011,"FIEBRE PARATIFOIDEA A",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,002,NO,NO,NO,SI,001,001,01C,01C,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,56,SI,SI,178,"FIEBRE PARATIFOIDEA",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
8,A,A012,"FIEBRE PARATIFOIDEA B",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,002,NO,NO,NO,SI,001,001,01C,01C,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,NO,NO,0,SI,56,NO,NO,178,"FIEBRE PARATIFOIDEA",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
9,A,A013,"FIEBRE PARATIFOIDEA C",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,002,NO,NO,NO,SI,001,001,01C,01C,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,NO,NO,0,SI,56,NO,NO,178,"FIEBRE PARATIFOIDEA",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
10,A,A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,002,NO,NO,NO,SI,001,001,01C,01C,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,NO,NO,0,SI,56,NO,NO,178,"FIEBRE PARATIFOIDEA",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
